NAICS Code,Kind of Business,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,Jan. 2020,Feb. 2020,Mar. 2020,Apr. 2020,May 2020,Jun. 2020,Jul. 2020,Aug. 2020,Sep. 2020,Oct. 2020,Nov. 2020,Dec. 2020,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021,Dec. 2021,Jan. 2022,Feb. 2022,Mar. 2022,Apr. 2022,May 2022,Jun. 2022,Jul. 2022,Aug. 2022,Sep. 2022,Oct. 2022,Nov. 2022,Dec. 2022,Jan. 2023,Feb. 2023,Mar. 2023,Apr. 2023,May 2023,Jun. 2023,Jul. 2023,Aug. 2023,Sep. 2023,Oct. 2023,Nov. 2023,Dec. 2023
NA,"Retail and food services sales, total",490447,493422,493123,494303,500585,498989,502441,502076,499995,505338,507073,496683,499639,500570,508402,508687,512334,513162,517547,521011,518121,519530,523313,525405,524991,525359,478099,408187,485791,527459,535844,541193,551970,"549,765","544,839",550198,569309,554929,"615,573","620,556","615,378","621,612","612,394","617,658","622,104","632,065","639,228","635,598","644,750","653,552","667,050","675,899","674,915","680,515","675,822","680,252","678,202","688,352","679,045","670,566","696,426","689,962","682,184","684,636","689,158","690,518","694,415","699,540","705,304","703,528","703,336","704,107"
NA,Retail sales and food services excl motor vehicle and parts,390491,393691,393190,394322,399775,398602,401462,401894,400487,405173,405803,394313,400358,399884,404993,407456,409239,410311,414239,415138,414775,416230,417186,420992,422721,422341,402080,343010,387090,420373,429604,433724,440825,"439,261","435,306",437837,455128,444019,"484,879","487,084","484,237","494,265","490,251","497,907","500,991","509,180","513,999","512,427","516,163","523,084","538,285","545,046","548,642","554,293","551,528","552,327","551,190","558,610","552,090","547,498","561,715","558,478","551,757","553,869","556,182","556,836","561,082","565,754","570,044","569,588","569,013","569,500"
NA,Retail sales and food services excl gasoline stations,447627,450234,450258,451357,456798,455524,458712,457710,456170,459827,463849,455987,459958,459269,465495,464259,468650,471246,474970,478400,475825,476744,480646,481425,481800,483951,443152,381239,455944,493881,500591,505014,515554,"513,418","509,575",511773,528941,513626,"569,568","575,834","570,565","575,924","565,735","569,474","572,329","580,405","586,692","581,794","591,604","597,486","603,766","612,074","608,332","612,258","609,431","618,736","619,474","627,265","619,114","613,807","639,682","634,414","627,191","630,210","636,334","638,019","641,763","643,336","648,557","647,745","649,602","650,807"
NA,Retail sales and food services excl motor vehicle and parts and gasoline stations,347671,350503,350325,351376,355988,355137,357733,357528,356662,359662,362579,353617,360677,358583,362086,363028,365555,368395,371662,372527,372479,373444,374519,377012,379530,380933,367133,316062,357243,386795,394351,397545,404409,"402,914","400,042",399412,414760,402716,"438,874","442,362","439,424","448,577","443,592","449,723","451,216","457,520","461,463","458,623","463,017","467,018","475,001","481,221","482,059","486,036","485,137","490,811","492,462","497,523","492,159","490,739","504,971","502,930","496,764","499,443","503,358","504,337","508,430","509,550","513,297","513,805","515,279","516,200"
NA,"Retail sales, total",431045,433754,432891,434832,439781,437530,440111,439439,438709,443560,445484,435285,438377,438830,446084,445957,448869,448856,452442,455725,451994,453140,456656,457669,456334,456676,429854,376992,444746,474621,480461,483280,492411,"490,482","487,824",496423,510740,497758,"550,349","552,575","545,282","548,414","537,466","542,966","547,197","557,190","563,358","560,896","572,415","577,933","589,238","595,371","593,733","598,405","594,264","596,600","594,142","602,581","593,927","585,653","606,350","602,307","594,206","596,809","599,958","600,736","603,792","608,386","612,633","610,561","609,099","610,322"
NA,"Retail sales, total (excl. motor vehicle and parts dealers)",331089,334023,332958,334851,338971,337143,339132,339257,339201,343395,344214,332915,339096,338144,342675,344726,345774,346005,349134,349852,348648,349840,350529,353256,354064,353658,353835,311815,346045,367535,374221,375811,381266,"379,978","378,291",384062,396559,386848,"419,655","419,103","414,141","421,067","415,323","423,215","426,084","434,305","438,129","437,725","443,828","447,465","460,473","464,518","467,460","472,183","469,970","468,675","467,130","472,839","466,972","462,585","471,639","470,823","463,779","466,042","466,982","467,054","470,459","474,600","477,373","476,621","474,776","475,715"
NA,GAFO(1),107285,108589,107179,107598,109652,107999,108434,107909,107444,108422,109196,108201,107883,107344,108677,108449,108400,108576,109632,109150,108500,108700,109252,110328,110344,110223,95390,70636,88212,104363,106015,105207,109860,"108,867","106,776",107917,115491,109651,"122,493","122,757","122,145","123,004","122,190","121,960","122,323","123,871","123,773","122,411","122,192","124,444","126,901","128,562","128,082","128,741","127,579","128,645","129,066","129,512","127,850","126,797","131,490","130,149","127,187","127,883","128,244","128,324","129,286","129,396","128,914","128,625","128,547","129,169"
441,Motor vehicle and parts dealers,99956,99731,99933,99981,100810,100387,100979,100182,99508,100165,101270,102370,99281,100686,103409,101231,103095,102851,103308,105873,103346,103300,106127,104413,102270,103018,76019,65177,98701,107086,106240,107469,111145,"110,504","109,533",112361,114181,110910,"130,694","133,472","131,141","127,347","122,143","119,751","121,113","122,885","125,229","123,171","128,587","130,468","128,765","130,853","126,273","126,222","124,294","127,925","127,012","129,742","126,955","123,068","134,711","131,484","130,427","130,767","132,976","133,682","133,333","133,786","135,260","133,940","134,323","134,607"
44114412,Automobile and other motor vehicle dealers,92182,91907,92132,92165,92877,92464,92972,92251,91469,92159,93313,94450,91571,92677,95277,93129,95003,94735,95219,97687,95300,95216,97994,96376,94333,95143,68871,58417,90338,98137,97557,98740,102577,"102,244","101,260",104145,105714,102467,"121,099","123,866","121,722","117,909","112,659","110,185","111,600","113,155","115,459","113,105","118,511","120,402","118,592","120,644","115,865","115,878","113,936","117,464","116,327","119,161","116,342","112,354","123,977","120,491","119,871","119,780","121,840","122,397","122,014","122,447","123,828","122,435","122,868","123,173"
4413,"Automotive parts, acc., and tire stores",7774,7824,7801,7816,7933,7923,8007,7931,8039,8006,7957,7920,7710,8009,8132,8102,8092,8116,8089,8186,8046,8084,8133,8037,7937,7875,7148,6760,8363,8949,8683,8729,8568,"8,260","8,273",8216,8467,8443,"9,595","9,606","9,419","9,438","9,484","9,566","9,513","9,730","9,770","10,066","10,076","10,066","10,173","10,209","10,408","10,344","10,358","10,461","10,685","10,581","10,613","10,714","10,734","10,993","10,556","10,987","11,136","11,285","11,319","11,339","11,432","11,505","11,455","11,434"
